Category,Topology,Source Framework,Precision,Inferred With,CPU,GPU,NPU
Object Detection,human-pose-estimation-0002,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,human-pose-estimation-0002,onnx,FP32,OpenVINO,+,+,
Object Detection,human-pose-estimation-0003,onnx,FP16,OpenVINO,+,+,
Object Detection,human-pose-estimation-0003,onnx,FP32,OpenVINO,+,+,
Object Detection,human-pose-estimation-0004,onnx,FP16,OpenVINO,+,+,
Object Detection,human-pose-estimation-0004,onnx,FP32,OpenVINO,+,+,
Object Detection,human-pose-estimation-0005,onnx,FP16,OpenVINO,+,+,
Object Detection,human-pose-estimation-0005,onnx,FP32,OpenVINO,+,+,
Object Detection,human-pose-estimation-0006,onnx,FP16,OpenVINO,+,+,
Object Detection,human-pose-estimation-0006,onnx,FP32,OpenVINO,+,+,
Object Detection,human-pose-estimation-0007,onnx,FP16,OpenVINO,+,+,
Object Detection,human-pose-estimation-0007,onnx,FP32,OpenVINO,+,+,
Object Detection,human-pose-estimation-3d-0001,onnx,FP16,OpenVINO,+,+,+
Object Detection,human-pose-estimation-3d-0001,onnx,FP32,OpenVINO,,+,+
"Image Processing, Enhancement ",hybrid-cs-model-mri,tf2,FP16,OpenVINO,+,,
"Image Processing, Enhancement ",hybrid-cs-model-mri,tf2,FP32,OpenVINO,+,,
Action Recognition,i3d-flow,tf,FP16,OpenVINO,+,+,
Action Recognition,i3d-flow,tf,FP16-INT8,OpenVINO,+,+,
Action Recognition,i3d-flow,tf,FP32,OpenVINO,+,+,
Action Recognition,i3d-rgb,tf,FP16,OpenVINO,+,+,
Action Recognition,i3d-rgb,tf,FP16-INT8,OpenVINO,+,+,
Action Recognition,i3d-rgb,tf,FP32,OpenVINO,+,+,
Semantic Segmentation,icnet-camvid-ava-0001,tf,FP16,OpenVINO,+,,
Semantic Segmentation,icnet-camvid-ava-0001,tf,FP16-INT8,OpenVINO,+,+,
Semantic Segmentation,icnet-camvid-ava-0001,tf,FP32,OpenVINO,+,+,
Semantic Segmentation,icnet-camvid-ava-sparse-30-0001,tf,FP16,OpenVINO,+,+,
Semantic Segmentation,icnet-camvid-ava-sparse-30-0001,tf,FP32,OpenVINO,+,+,
Semantic Segmentation,icnet-camvid-ava-sparse-60-0001,tf,FP16,OpenVINO,+,,
Semantic Segmentation,icnet-camvid-ava-sparse-60-0001,tf,FP16-INT8,OpenVINO,+,+,
Semantic Segmentation,icnet-camvid-ava-sparse-60-0001,tf,FP32,OpenVINO,+,+,
Semantic Segmentation,icnet-camvid-onnx-0001,onnx,FP16,OpenVINO,+,,+
Semantic Segmentation,icnet-camvid-onnx-0001,onnx,FP16-INT8,OpenVINO,+,,+
Image Classification,image-retrieval-0001,tf,FP16,OpenVINO,+,,+
Image Classification,image-retrieval-0001,tf,FP16-INT8,OpenVINO,+,,+
Image Classification,image-retrieval-0001,tf,FP32,OpenVINO,+,,+
Image Classification,inception-resnet-v2,tf,FP16,OpenVINO,+,+,
Image Classification,inception-resnet-v2,tf,FP16-INT8,OpenVINO,+,+,
Image Classification,inception-resnet-v2,tf,FP32,OpenVINO,+,+,
Image Classification,inceptionv3-int8-onnx-0001,onnx,FP16-INT8,OpenVINO,+,+,
Instance Segmentation,instance-segmentation-person-0007,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-person-0007,onnx,FP16-INT8,OpenVINO,+,,
Instance Segmentation,instance-segmentation-person-0007,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0002,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0002,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0010,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0010,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0050,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0050,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0083,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0083,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0091,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0091,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0228,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0228,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-1025,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-1025,onnx,FP16-INT8,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-1025,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-1039,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-1039,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-1040,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-1040,onnx,FP32,OpenVINO,+,,
Video Processing ,iseebetter,onnx,FP16,OpenVINO,+,+,
Video Processing ,iseebetter,onnx,FP16-INT8,OpenVINO,+,+,+
Video Processing ,iseebetter,onnx,FP32,OpenVINO,+,+,
Natural Language Processing,jina-clip-v1,pytorch,FP16,OpenVINO,+,+,
Object Detection,landmarks-regression-retail-0009,onnx,FP16,OpenVINO,+,+,
Object Detection,landmarks-regression-retail-0009,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,landmarks-regression-retail-0009,onnx,FP32,OpenVINO,+,+,
Image Classification,levit-128s,onnx,FP16,OpenVINO,+,+,
Image Classification,levit-128s,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,levit-128s,onnx,FP32,OpenVINO,+,+,
Image Classification,levit-128s,pytorch,FP32,OpenVINO,+,+,+
Text Detection,license-plate-recognition-barrier-0007,tf,FP16,OpenVINO,+,,+
Text Detection,license-plate-recognition-barrier-0007,tf,FP16-INT8,OpenVINO,+,,+
Text Detection,license-plate-recognition-barrier-0007,tf,FP32,OpenVINO,+,,+
Image Classification,lraspp-mobilenet-v3-large,onnx,FP16,OpenVINO,+,+,+
Image Classification,lraspp-mobilenet-v3-large,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,lraspp-mobilenet-v3-large,onnx,FP32,OpenVINO,+,+,
Natural Language Processing,machine-translation-nar-de-en-0001,onnx,FP16,OpenVINO,+,,+
Natural Language Processing,machine-translation-nar-de-en-0001,onnx,FP32,OpenVINO,+,,
Natural Language Processing,machine-translation-nar-de-en-0002,onnx,FP16,OpenVINO,+,,+
Natural Language Processing,machine-translation-nar-de-en-0002,onnx,FP32,OpenVINO,+,,
Natural Language Processing,machine-translation-nar-en-de-0001,onnx,FP16,OpenVINO,+,,+
Natural Language Processing,machine-translation-nar-en-de-0001,onnx,FP32,OpenVINO,+,,
Natural Language Processing,machine-translation-nar-en-de-0002,onnx,FP16,OpenVINO,+,,+
Natural Language Processing,machine-translation-nar-en-de-0002,onnx,FP32,OpenVINO,+,,
Natural Language Processing,machine-translation-nar-en-ru-0002,onnx,FP16,OpenVINO,+,,+
Natural Language Processing,machine-translation-nar-en-ru-0002,onnx,FP32,OpenVINO,+,,
Natural Language Processing,machine-translation-nar-ru-en-0002,onnx,FP16,OpenVINO,+,,+
Natural Language Processing,machine-translation-nar-ru-en-0002,onnx,FP16-INT8,OpenVINO,+,,+
Natural Language Processing,machine-translation-nar-ru-en-0002,onnx,FP32,OpenVINO,+,,
Instance Segmentation,mask_rcnn_inception_resnet_v2_atrous_coco,tf,FP16,OpenVINO,+,+,
Instance Segmentation,mask_rcnn_inception_v2_coco,tf,FP16,OpenVINO,+,+,
Instance Segmentation,mask_rcnn_inception_v2_coco,tf,FP16-INT8,OpenVINO,+,+,
Instance Segmentation,mask_rcnn_resnet101_atrous_coco,tf,FP16,OpenVINO,+,+,
Instance Segmentation,mask_rcnn_resnet101_atrous_coco,tf,FP16-INT8,OpenVINO,+,+,
Instance Segmentation,mask_rcnn_resnet50_atrous_coco,tf,FP16,OpenVINO,+,+,
Instance Segmentation,mask_rcnn_resnet50_atrous_coco,tf,FP16-INT8,OpenVINO,+,+,
Monodepth,midasnet,onnx,FP16,OpenVINO,+,+,+
Monodepth,midasnet,onnx,FP16-INT8,OpenVINO,+,+,+
Monodepth,midasnet,onnx,FP32,OpenVINO,+,+,+
Image Classification,mixnet-l,pytorch,FP32-INT8,OpenVINO,+,+,+
Image Classification,mlp-mixer-b16-224-miil,onnx,FP16,OpenVINO,+,+,
Image Classification,mlp-mixer-b16-224-miil,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,mlp-mixer-b16-224-miil,onnx,FP32,OpenVINO,+,+,
Image Classification,mlp-mixer-b16-224-miil,pytorch,FP32,OpenVINO,+,+,+
Image Classification,mlp-mixer-b16-224-miil,pytorch,FP32-INT8,OpenVINO,+,+,+
Object Detection,mnasnet-0.5,onnx,FP16,OpenVINO,+,+,
Object Detection,mnasnet-0.5,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,mnasnet-0.5,onnx,FP32,OpenVINO,+,+,
Object Detection,mnasnet-1.0,pytorch,FP32,OpenVINO,+,+,+
Object Detection,mnasnet-1.0,pytorch,FP32-INT8,OpenVINO,+,+,+
Natural Language Processing,mobilebert,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v1-0.25-128,tf,FP16,OpenVINO,+,+,
Object Detection,mobilenet-v1-0.25-128,tf,FP16-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v1-0.25-128,tf,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v1-1.0-224,tf,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v1-1.0-224,tf,FP16-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v1-1.0-224,tf,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v2,onnx,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v2,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v2,onnx,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v2,pytorch,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v2,pytorch,FP32-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v2-1.0-224,tf,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v2-1.0-224,tf,FP16-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v2-1.0-224,tf,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,onnx,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,onnx,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,tf,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,tf,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,tf2,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,tf2,FP16-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,tf2,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v3-small-1.0-224,onnx,FP16,OpenVINO,+,+,
Object Detection,mobilenet-v3-small-1.0-224,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,mobilenet-v3-small-1.0-224,onnx,FP32,OpenVINO,+,+,
Object Detection,mobilenet-v3-small-1.0-224,tf,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v3-small-1.0-224,tf,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v3-small-1.0-224,tf2,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v3-small-1.0-224,tf2,FP16-INT8,OpenVINO,+,+,
Object Detection,mobilenet-v3-small-1.0-224,tf2,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-yolo-v4-syg,tf,FP16-INT8,OpenVINO,+,+,
Object Detection,mobilenetv2-int8-onnx-0001,onnx,FP16-INT8,OpenVINO,+,+,
Background Matting,modnet_photographic_portrait_matting,onnx,FP16,OpenVINO,+,,
Background Matting,modnet_photographic_portrait_matting,onnx,FP32,OpenVINO,+,+,
Background Matting,modnet_webcam_portrait_matting,onnx,FP16-INT8,OpenVINO,+,,+
Background Matting,modnet_webcam_portrait_matting,onnx,FP32,OpenVINO,+,+,
Speech Recognition,mozilla-deepspeech-0.6.1,tf,FP16,OpenVINO,+,,
Speech Recognition,mozilla-deepspeech-0.6.1,tf,FP16-INT8,OpenVINO,+,,
Speech Recognition,mozilla-deepspeech-0.6.1,tf,FP32,OpenVINO,+,,
Speech Recognition,mozilla-deepspeech-0.7.1,tf,FP16,OpenVINO,+,,
Speech Recognition,mozilla-deepspeech-0.7.1,tf,FP16-INT8,OpenVINO,+,,
Speech Recognition,mozilla-deepspeech-0.7.1,tf,FP32,OpenVINO,+,,
Speech Recognition,mozilla-deepspeech-0.8.2,tf,FP16,OpenVINO,+,,+
Speech Recognition,mozilla-deepspeech-0.8.2,tf,FP16-INT8,OpenVINO,+,,+
Speech Recognition,mozilla-deepspeech-0.8.2,tf,FP32,OpenVINO,+,,+
Object Detection,nanodet-m-1.5x-416,onnx,FP16,OpenVINO,+,+,+
Object Detection,nanodet-m-1.5x-416,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,nanodet-m-1.5x-416,onnx,FP32,OpenVINO,+,+,+
Image Classification,nasnet-a-large-331,tf,FP16,OpenVINO,+,+,+
Image Classification,nasnet-a-large-331,tf,FP16-INT8,OpenVINO,+,+,
Image Classification,nasnet-a-large-331,tf,FP32,OpenVINO,+,+,+
Image Classification,nasnet-a-mobile-224,tf,FP16,OpenVINO,+,+,
Image Classification,nasnet-a-mobile-224,tf,FP16-INT8,OpenVINO,+,+,
Image Classification,nasnet-a-mobile-224,tf,FP32,OpenVINO,+,+,
Image Classification,netvlad,tf,FP16,OpenVINO,+,,
Image Classification,netvlad,tf,FP16-INT8,OpenVINO,+,,+
Image Classification,netvlad,tf,FP32,OpenVINO,+,,
Image Classification,nfnet-f0,onnx,FP16,OpenVINO,+,+,
Image Classification,nfnet-f0,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,nfnet-f0,onnx,FP32,OpenVINO,+,+,
Image Classification,nfnet-f6,pytorch,FP32,OpenVINO,+,,+
Image Classification,nfnet-f6,pytorch,FP32-INT8,OpenVINO,+,,+
Audio Enhancement,noise-suppression-denseunet-ll-0001,onnx,FP16,OpenVINO,+,,
Audio Enhancement,noise-suppression-poconetlike-0001,onnx,FP16,OpenVINO,+,,+
Audio Enhancement,noise-suppression-poconetlike-0001,onnx,FP32,OpenVINO,+,,
Text Detection,ocr-perpetuuiti,tf,FP16,OpenVINO,+,,
Text Detection,ocr-perpetuuiti,tf,FP16-INT8,OpenVINO,+,,
Text Detection,ocr-perpetuuiti,tf,FP32,OpenVINO,+,,
Image Classification,open-closed-eye-0001,onnx,FP16,OpenVINO,+,+,+
Image Classification,open-closed-eye-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,open-closed-eye-0001,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,opennmt-hindi-english,onnx,FP32,OpenVINO,+,+,+
Object Detection,openpose-pose,tf,FP16,OpenVINO,+,,
Object Detection,openpose-pose,tf,FP16-INT8,OpenVINO,+,,
Object Detection,openpose-pose,tf,FP32,OpenVINO,+,,
Object Detection,person-attributes-recognition-crossroad-0230,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-attributes-recognition-crossroad-0230,onnx,FP32,OpenVINO,+,+,+
Object Detection,person-attributes-recognition-crossroad-0234,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-attributes-recognition-crossroad-0234,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,person-attributes-recognition-crossroad-0234,onnx,FP32,OpenVINO,+,+,+
Object Detection,person-attributes-recognition-crossroad-0238,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-attributes-recognition-crossroad-0238,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,person-attributes-recognition-crossroad-0238,onnx,FP32,OpenVINO,+,+,+
Object Detection,person-detection-0100,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-detection-0100,onnx,FP32,OpenVINO,+,+,+
Object Detection,person-detection-0101,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-detection-0101,onnx,FP32,OpenVINO,+,+,+
Object Detection,person-detection-0102,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-detection-0102,onnx,FP32,OpenVINO,+,+,+
Object Detection,person-detection-0106,onnx,FP16,OpenVINO,+,,
Object Detection,person-detection-0106,onnx,FP32,OpenVINO,+,,
Object Detection,person-detection-0200,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-detection-0200,onnx,FP32,OpenVINO,+,+,+
Object Detection,person-detection-0201,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-detection-0201,onnx,FP32,OpenVINO,+,+,+
Object Detection,person-detection-0202,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-detection-0202,onnx,FP32,OpenVINO,+,+,+
Object Detection,person-detection-0203,onnx,FP16,OpenVINO,+,+,
Object Detection,person-detection-0203,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,person-detection-0203,onnx,FP32,OpenVINO,+,+,
Object Detection,person-detection-0301,onnx,FP16,OpenVINO,+,,
Object Detection,person-detection-0301,onnx,FP32,OpenVINO,+,,
Object Detection,person-detection-0302,onnx,FP16,OpenVINO,+,,
Object Detection,person-detection-0302,onnx,FP32,OpenVINO,+,,
Object Detection,person-detection-0303,onnx,FP16,OpenVINO,+,,+
Object Detection,person-detection-0303,onnx,FP32,OpenVINO,+,,
Object Detection,person-detection-action-recognition-0006,tf,FP16,OpenVINO,+,+,+
Object Detection,person-detection-action-recognition-0006,tf,FP16-INT8,OpenVINO,+,+,+
Object Detection,person-detection-action-recognition-0006,tf,FP32,OpenVINO,+,+,+
Object Detection,person-detection-asl-0001,onnx,FP16,OpenVINO,+,+,
Object Detection,person-detection-asl-0001,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,person-detection-asl-0001,onnx,FP32,OpenVINO,+,+,
Object Detection,person-reidentification-retail-0248,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-reidentification-retail-0248,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,person-reidentification-retail-0248,onnx,FP32,OpenVINO,+,+,
Object Detection,person-reidentification-retail-0277,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-reidentification-retail-0277,onnx,FP32,OpenVINO,+,+,+
Object Detection,person-reidentification-retail-0286,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-reidentification-retail-0286,onnx,FP32,OpenVINO,+,+,+
Object Detection,person-reidentification-retail-0287,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-reidentification-retail-0287,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,person-reidentification-retail-0287,onnx,FP32,OpenVINO,+,+,+
Object Detection,person-reidentification-retail-0288,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-reidentification-retail-0288,onnx,FP32,OpenVINO,+,+,+
Object Detection,person-vehicle-bike-detection-2000,onnx,FP16,OpenVINO,+,+,
Object Detection,person-vehicle-bike-detection-2000,onnx,FP32,OpenVINO,+,+,
Object Detection,person-vehicle-bike-detection-2001,onnx,FP16,OpenVINO,+,+,
Object Detection,person-vehicle-bike-detection-2001,onnx,FP32,OpenVINO,+,+,
Object Detection,person-vehicle-bike-detection-2002,onnx,FP16,OpenVINO,+,+,
Object Detection,person-vehicle-bike-detection-2002,onnx,FP32,OpenVINO,+,+,
Object Detection,person-vehicle-bike-detection-2003,onnx,FP16,OpenVINO,+,,
Object Detection,person-vehicle-bike-detection-2003,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,person-vehicle-bike-detection-2003,onnx,FP32,OpenVINO,+,+,
Object Detection,person-vehicle-bike-detection-2004,onnx,FP16,OpenVINO,+,+,
Object Detection,person-vehicle-bike-detection-2004,onnx,FP32,OpenVINO,+,+,
Object Detection,person-vehicle-bike-detection-crossroad-1016,onnx,FP16,OpenVINO,+,+,
Object Detection,person-vehicle-bike-detection-crossroad-1016,onnx,FP32,OpenVINO,+,+,
Image Segmentation,pointrend-resnet50-fpn-pytorch,onnx,FP16,OpenVINO,+,,
Image Segmentation,pointrend-resnet50-fpn-pytorch,onnx,FP16-INT8,OpenVINO,+,,
Image Segmentation,pointrend-resnet50-fpn-pytorch,onnx,FP32,OpenVINO,+,,
Object Detection,prnet,tf,FP16,OpenVINO,+,+,+
Object Detection,prnet,tf,FP16-INT8,OpenVINO,+,+,+
Object Detection,prnet,tf,FP32,OpenVINO,+,+,+
Object Detection,product-detection-0001,onnx,FP16,OpenVINO,+,+,+
Object Detection,product-detection-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,product-detection-0001,onnx,FP32,OpenVINO,+,+,+
Semantic Segmentation,pspnet-pytorch,onnx,FP16,OpenVINO,+,+,
Semantic Segmentation,pspnet-pytorch,onnx,FP16-INT8,OpenVINO,+,+,
Semantic Segmentation,pspnet-pytorch,onnx,FP32,OpenVINO,+,+,
Speech Recognition,quartznet-15x5-en,onnx,FP16,OpenVINO,+,,
Speech Recognition,quartznet-15x5-en,onnx,FP16-INT8,OpenVINO,+,,
Speech Recognition,quartznet-15x5-en,onnx,FP32,OpenVINO,+,,
"Image Processing, Enhancement ",rcan,onnx,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",rcan,onnx,FP16-INT8,OpenVINO,+,+,+
"Image Processing, Enhancement ",rcan,onnx,FP32,OpenVINO,+,+,+
Image Classification,regnetx-3.2gf,onnx,FP16,OpenVINO,+,+,
Image Classification,regnetx-3.2gf,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,regnetx-3.2gf,onnx,FP32,OpenVINO,+,+,
Image Classification,regnetx-32gf,pytorch,FP32-INT8,OpenVINO,+,+,+
Image Classification,repvgg-a0,onnx,FP16,OpenVINO,+,+,
Image Classification,repvgg-a0,onnx,FP32,OpenVINO,+,+,
Image Classification,repvgg-b1,onnx,FP16,OpenVINO,+,+,
Image Classification,repvgg-b1,onnx,FP32,OpenVINO,+,+,
Image Classification,repvgg-b3,onnx,FP16,OpenVINO,+,+,
Image Classification,repvgg-b3,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,repvgg-b3,onnx,FP32,OpenVINO,+,+,
Image Classification,repvgg-b3,pytorch,FP32,OpenVINO,+,+,+
Image Classification,repvgg-b3,pytorch,FP32-INT8,OpenVINO,+,+,+
Image Classification,resmlp-12-distilled-224,onnx,FP16,OpenVINO,+,+,
Image Classification,resmlp-12-distilled-224,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,resmlp-12-distilled-224,onnx,FP32,OpenVINO,+,+,
Image Classification,resmlp-12-distilled-224,pytorch,FP32,OpenVINO,+,+,+
Image Classification,resmlp-12-distilled-224,pytorch,FP32-INT8,OpenVINO,+,+,+
Image Classification,resnest-50-pytorch,onnx,FP16,OpenVINO,+,+,
Image Classification,resnest-50-pytorch,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,resnest-50-pytorch,onnx,FP32,OpenVINO,+,+,
Image Classification,resnet-101,onnx,FP16,OpenVINO,+,+,
Image Classification,resnet-101,onnx,FP32,OpenVINO,+,+,
Image Classification,resnet-101,tf,FP16,OpenVINO,+,+,+
Image Classification,resnet-101,tf,FP32,OpenVINO,+,+,+
Image Classification,resnet-152,onnx,FP16,OpenVINO,+,+,
Image Classification,resnet-152,onnx,FP32,OpenVINO,+,+,
Image Classification,resnet-152,tf,FP16,OpenVINO,+,+,+
Image Classification,resnet-152,tf,FP32,OpenVINO,+,+,+
Image Classification,resnet-18,onnx,FP16,OpenVINO,+,+,+
Image Classification,resnet-18,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,resnet-18,onnx,FP32,OpenVINO,+,+,+
Image Classification,resnet-34-pytorch,onnx,FP16,OpenVINO,+,+,
Image Classification,resnet-34-pytorch,onnx,FP32,OpenVINO,+,+,
Image Classification,resnet-50,onnx,FP16,OpenVINO,+,+,+
Image Classification,resnet-50,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,resnet-50,onnx,FP32,OpenVINO,+,+,+
Image Classification,resnet-50,pytorch,FP16,OpenVINO,+,+,+
Image Classification,resnet-50,pytorch,FP16-INT8,OpenVINO,+,+,+
Image Classification,resnet-50,tf,FP16,OpenVINO,+,+,+
Image Classification,resnet-50,tf,FP16-INT8,OpenVINO,+,+,+
Image Classification,resnet-50,tf,FP32,OpenVINO,+,+,+
Image Classification,resnet-50-pytorch,onnx,FP16,OpenVINO,+,+,+
Image Classification,resnet-50-pytorch,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,resnet-50-pytorch,onnx,FP32,OpenVINO,+,+,+
Image Classification,resnet-50-tf,tf,FP16,OpenVINO,+,+,
Image Classification,resnet-50-tf,tf,FP16-INT8,OpenVINO,+,+,
Image Classification,resnet-50-tf,tf,FP32,OpenVINO,+,+,
Image Classification,resnet-50-tf,tf2,FP16,OpenVINO,+,+,
Image Classification,resnet-50-tf,tf2,FP16-INT8,OpenVINO,+,+,
Image Classification,resnet-50-tf,tf2,FP32,OpenVINO,+,+,
Image Classification,resnet18-xnor-binary-onnx-0001,onnx,FP16-INT1,OpenVINO,+,,
Image Classification,resnet50-binary-0001,onnx,FP16-INT1,OpenVINO,+,,
Image Classification,resnet50-int8-onnx-0001,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,resnext-101-32x8d,onnx,FP16,OpenVINO,+,+,+
Image Classification,resnext-101-32x8d,onnx,FP32,OpenVINO,+,+,+
Image Classification,resnext-101-32x8d,pytorch,FP32,OpenVINO,+,+,+
Image Classification,resnext-101-32x8d,pytorch,FP32-INT8,OpenVINO,+,,+
Image Classification,resnext-50-32x4d,onnx,FP16,OpenVINO,+,+,
Image Classification,resnext-50-32x4d,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,resnext-50-32x4d,onnx,FP32,OpenVINO,+,+,
Image Classification,resnext101-32x16d-swsl,onnx,FP16,OpenVINO,+,+,+
Image Classification,resnext101-32x16d-swsl,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,resnext101-32x16d-swsl,onnx,FP32,OpenVINO,+,+,+
Image Classification,retinaface-resnet50,onnx,FP16,OpenVINO,+,+,
Image Classification,retinaface-resnet50,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,retinaface-resnet50,onnx,FP32,OpenVINO,+,+,
Image Classification,retinanet,tf2,FP16,OpenVINO,+,+,+
Image Classification,retinanet,tf2,FP32,OpenVINO,+,+,+
Image Classification,retinanet_resnet34,onnx,FP16,OpenVINO,+,+,
Image Classification,retinanet_resnet34,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,retinanet_resnet34,onnx,FP32,OpenVINO,+,+,
Image Classification,rexnet-v1-x1.0,onnx,FP16,OpenVINO,+,+,
Image Classification,rexnet-v1-x1.0,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,rexnet-v1-x1.0,onnx,FP32,OpenVINO,+,+,
Image Classification,rfcn-resnet101-coco,tf,FP16,OpenVINO,+,+,
Image Classification,rfcn-resnet101-coco,tf,FP16-INT8,OpenVINO,+,+,
Speech Recognition,rnnt,onnx,FP16,OpenVINO,+,+,
Speech Recognition,rnnt,onnx,FP32,OpenVINO,+,+,
Natural Language Processing,roberta-base,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,roberta-base,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,roberta-base,onnx,FP32,OpenVINO,+,+,+
