Category,topology,source framework,precision,infered with,CPU,GPU,NPU
Natural Language Processing,distilbert-base-uncased,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,distilbert-base-uncased,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,distilbert-base-uncased,onnx,FP32,OpenVINO,+,+,
Natural Language Processing,distilbert-base-uncased,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,distilbert-base-uncased,pytorch,FP32,torch.compile,+,+,+
Large Language Model,distilbert-base-uncased-distilled-squad,pytorch,intel-optimum default,Optimum Intel,+,+,
Large Language Model,distilbert-base-uncased-distilled-squad,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,distilbert-base-uncased-finetuned-sst-2-english,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,distilbert-base-uncased-finetuned-sst-2-english,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,distilbert-base-uncased-sst-2,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,distilbert-base-uncased-sst-2,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,distilbert-base-uncased-sst-2,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,distilbert-base-uncased-sst-2,onnx,FP32,ONNX Runtime OVEP,+,+,+
Natural Language Processing,distilbert-base-uncased-sst-2,onnx,FP16,ONNX Runtime OVEP,+,+,+
Natural Language Processing,distilbert-base-uncased-sst-2,onnx,INT8,ONNX Runtime OVEP,+,+,
Speech Recognition,distil-large-v3,pytorch,intel-optimum default,Optimum Intel,+,,
Speech Recognition,distil-medium.en,pytorch,intel-optimum default,Optimum Intel,+,+,
Image Classification,dla34,pytorch,FP32,torch.compile,+,+,+
Image Classification,dla-34,onnx,FP16,OpenVINO,+,,+
Image Classification,dla-34,onnx,FP16-INT8,OpenVINO,+,,+
Image Classification,dla60_res2net,pytorch,FP32,torch.compile,+,+,+
Image Classification,dla60_res2next,pytorch,FP32,torch.compile,+,+,+
Image Classification,dla60x,pytorch,FP32,torch.compile,+,+,+
Large Language Model,DLRM,onnx,FP32,ONNX Runtime OVEP,+,+,+
Large Language Model,DLRM,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,dm_nfnet_f6,pytorch,FP32,torch.compile,+,+,+
Image Classification,dm_nfnet_f6.dm_in1k,pytorch,FP32,torch.compile,+,+,+
DNA Classification,dna_r9.4.1,onnx,FP16,OpenVINO,+,,
DNA Classification,dna_r9.4.1,onnx,FP16-INT8,OpenVINO,+,,
DNA Classification,dna_r9.4.1,onnx,FP32,OpenVINO,+,,
DNA Classification,dna_r9.4.1@v3,onnx,FP16,OpenVINO,+,,
DNA Classification,dna_r9.4.1@v3,onnx,FP32,OpenVINO,+,,
DNA Classification,dna_r9.4.1@v3,onnx,FP32,ONNX Runtime OVEP,+,+,
DNA Classification,dna_r9.4.1@v3,onnx,FP16,ONNX Runtime OVEP,+,+,
Large Language Model,dolly-v2-12b,pytorch,FP16,OpenVINO,+,,
Large Language Model,dolly-v2-12b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,dolly-v2-12b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,dolly-v2-3b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,dolly-v2-3b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,dolly-v2-3b,pytorch,INT4-MIXED,OpenVINO,+,+,
Image Classification,dpn68,pytorch,FP32,torch.compile,+,+,+
"Image Classifiation, Dual Path Network",dpn-68,onnx,FP16,OpenVINO,+,+,+
"Image Classifiation, Dual Path Network",dpn-68,onnx,FP16-INT8,OpenVINO,+,+,
"Image Classifiation, Dual Path Network",dpn-68,onnx,FP32,OpenVINO,+,+,+
"Image Classifiation, Dual Path Network",dpn-68,onnx,FP32,ONNX Runtime OVEP,+,+,+
"Image Classifiation, Dual Path Network",dpn-68,onnx,FP16,ONNX Runtime OVEP,+,+,+
"Image Classifiation, Dual Path Network",dpn-68,onnx,INT8,ONNX Runtime OVEP,+,+,+
Object Detection,driver-action-recognition-adas-0002,onnx,FP16,OpenVINO,+,,+
Object Detection,driver-action-recognition-adas-0002,onnx,FP32,OpenVINO,+,,
Semantic Segmentation,drn-d-38,onnx,FP16,OpenVINO,+,+,
Image Classification,east_resnet_v1_50,tf,FP16,OpenVINO,+,+,
Image Classification,east_resnet_v1_50,tf,FP16-INT8,OpenVINO,+,+,+
Image Classification,east_resnet_v1_50,tf,FP32,OpenVINO,+,+,
"Image Processing, Enhancement ",ebgan,onnx,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",ebgan,onnx,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",ebgan,onnx,FP32,ONNX Runtime OVEP,+,+,+
"Image Processing, Enhancement ",ebgan,onnx,FP16,ONNX Runtime OVEP,+,+,+
"Image Processing, Enhancement ",ebgan,onnx,INT8,ONNX Runtime OVEP,+,+,+
"Image Processing, Enhancement ",ebgan,tf,FP32,OpenVINO,+,+,
"Image Processing, Enhancement ",ebgan,tf,FP16,OpenVINO,+,+,
Image Classification,eca_botnext26ts_256,pytorch,FP32,torch.compile,+,+,
Image Classification,eca_halonext26ts,pytorch,FP32,torch.compile,+,+,
Image Classification,eca_nfnet_l1,pytorch,FP32,torch.compile,+,+,+
Image Classification,ecaresnet50d,pytorch,FP32,torch.compile,+,+,+
Image Classification,edgenext_small_rw,pytorch,FP32,torch.compile,+,+,+
"Image Processing, Enhancement ",edsr3_super_resolution,tf,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",edsr3_super_resolution,tf,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",edsr3-nas,onnx,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",edsr3-nas,onnx,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",edsr3-nas,onnx,FP32,ONNX Runtime OVEP,+,+,+
"Image Processing, Enhancement ",edsr3-nas,onnx,FP16,ONNX Runtime OVEP,+,+,+
"Image Processing, Enhancement ",edsr3-nas,onnx,INT8,ONNX Runtime OVEP,+,+,+
Object Detection,efficientdet-d0,tf,FP32,OpenVINO,+,+,+
Object Detection,efficientdet-d0,tf,FP16,OpenVINO,+,+,+
Object Detection,efficientdet-d0,tf,INT8,OpenVINO,+,,+
Object Detection,efficientdet-d1-coco,tf,FP32,OpenVINO,,,+
Object Detection,efficientdet-d1-coco,tf,FP16,OpenVINO,,,+
Image Classification,efficientformer_l3.snap_dist_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientformerv2_s1.snap_dist_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b0,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b1,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b2,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b3,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b4,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b5,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b6,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b7,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_v2_l,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_v2_m,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_v2_s,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet-b0,onnx,FP16,OpenVINO,+,+,+
Image Classification,efficientnet-b0,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,efficientnet-b0,onnx,FP32,OpenVINO,+,+,+
Image Classification,efficientnet-b0,tf,FP16,OpenVINO,+,+,+
Image Classification,efficientnet-b0,tf,FP16-INT8,OpenVINO,,+,+
Image Classification,efficientnet-b0,tf,FP32,OpenVINO,+,+,
Image Classification,efficientnet-b0,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,efficientnet-b0,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,efficientnet-b0,onnx,INT8,ONNX Runtime OVEP,+,+,+
Image Classification,efficientnet-b0,pytorch,FP32,OpenVINO,+,+,+
Image Classification,efficientnet-b0,pytorch,FP16,OpenVINO,+,+,+
Image Classification,efficientnet-b0,pytorch,INT8,OpenVINO,+,+,+
Object Detection,efficientnet-b0_auto_aug,tf,FP16,OpenVINO,+,,+
Object Detection,efficientnet-b0_auto_aug,tf,FP16-INT8,OpenVINO,,+,+
Object Detection,efficientnet-b0_auto_aug,tf,FP32,OpenVINO,+,+,
Image Classification,efficientnetv2_rw_s.ra2_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet-v2-m,onnx,FP16,OpenVINO,+,+,+
Image Classification,efficientnet-v2-m,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,efficientnet-v2-m,onnx,FP32,OpenVINO,+,+,+
Image Classification,efficientnet-v2-m,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,efficientnet-v2-m,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,efficientnet-v2-m,onnx,INT8,ONNX Runtime OVEP,+,+,
Image Classification,efficientnet-v2-m,pytorch,FP32,OpenVINO,+,+,+
Image Classification,efficientnet-v2-m,pytorch,FP16,OpenVINO,+,+,+
Natural Language Processing,electra-base-french-europeana-cased-generator,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,electra-base-generator,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,electra-base-squad2,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,electra-large-discriminator-nli-efl-tweeteval,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,electra-small-discriminator,pytorch,FP32,torch.compile,+,+,+
Audio,encodec-model-24khz-decoder,onnx,FP32,ONNX Runtime OVEP,+,,+
Audio,encodec-model-24khz-decoder,onnx,FP16,ONNX Runtime OVEP,+,,+
Audio,encodec-model-24khz-encoder,onnx,FP32,ONNX Runtime OVEP,+,+,
Audio,encodec-model-24khz-encoder,onnx,FP16,ONNX Runtime OVEP,+,+,
Image Classification,ens_adv_inception_resnet_v2,pytorch,FP32,torch.compile,+,+,+
Image Classification,ens3-adv-inception-v3,tf,FP16,OpenVINO,+,,+
Image Classification,ens3-adv-inception-v3,tf,FP16-INT8,OpenVINO,+,,+
Image Classification,ens3-adv-inception-v3,tf,FP32,OpenVINO,+,,
Image Classification,ese_vovnet39b,pytorch,FP32,torch.compile,+,+,
"Image Processing, Enhancement ",esrgan,onnx,FP16,OpenVINO,+,,+
"Image Processing, Enhancement ",esrgan,onnx,FP32,OpenVINO,+,+,
"Image Processing, Enhancement ",esrgan,onnx,FP32,ONNX Runtime OVEP,+,+,
"Image Processing, Enhancement ",esrgan,onnx,FP16,ONNX Runtime OVEP,+,+,
Image Classification,eva_large_patch14_336.in22k_ft_in1k,pytorch,FP32,torch.compile,+,+,+
Object Detection,faceboxes,onnx,FP16,OpenVINO,+,+,+
Object Detection,faceboxes,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,faceboxes,onnx,FP32,OpenVINO,+,+,+
Object Detection,faceboxes,onnx,FP32,ONNX Runtime OVEP,+,+,+
Object Detection,faceboxes,onnx,FP16,ONNX Runtime OVEP,+,+,+
Object Detection,faceboxes,onnx,INT8,ONNX Runtime OVEP,+,+,+
Object Detection,face-detection-0200,onnx,FP16,OpenVINO,+,+,+
Object Detection,face-detection-0202,onnx,FP16,OpenVINO,+,+,+
Object Detection,face-detection-0202,onnx,FP32,OpenVINO,+,+,+
Object Detection,face-detection-0204,onnx,FP16,OpenVINO,+,+,+
Object Detection,face-detection-0205,onnx,FP16,OpenVINO,+,+,
Object Detection,face-detection-0205,onnx,FP32,OpenVINO,+,+,
Object Detection,face-detection-0206,onnx,FP16,OpenVINO,+,+,
Object Detection,face-detection-0206,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,face-detection-retail-0005,onnx,FP16,OpenVINO,+,+,+
Object Detection,face-detection-retail-0005,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,face-detection-retail-0005,onnx,FP32,OpenVINO,+,+,+
Object Detection,facenet,onnx,FP16,OpenVINO,+,+,+
Object Detection,facenet,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,facenet,onnx,FP32,OpenVINO,+,+,
Object Detection,facenet-20180408-102900,tf,FP16,OpenVINO,+,+,+
Object Detection,facenet-20180408-102900,tf,FP32,OpenVINO,+,+,
Object Detection,face-recognition-resnet100-arcface,onnx,FP16,OpenVINO,+,+,+
Object Detection,face-recognition-resnet100-arcface,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,face-recognition-resnet100-arcface,onnx,FP32,OpenVINO,+,+,+
Object Detection,face-reidentification-retail-0095,onnx,FP16,OpenVINO,+,+,+
Object Detection,face-reidentification-retail-0095,onnx,FP16-INT8,OpenVINO,,+,+
Object Detection,face-reidentification-retail-0095,onnx,FP32,ONNX Runtime OVEP,,,+
Object Detection,face-reidentification-retail-0095,onnx,FP16,ONNX Runtime OVEP,,,+
Object Detection,face-reidentification-retail-0095,onnx,INT8,ONNX Runtime OVEP,,,+
Object Detection,facial-landmarks-98-detection-0001,onnx,FP16,OpenVINO,+,+,+
Object Detection,facial-landmarks-98-detection-0001,onnx,FP32,OpenVINO,+,+,+
Object Detection,facial-landmarks-98-detection-0001,onnx,FP32,ONNX Runtime OVEP,+,+,+
Object Detection,facial-landmarks-98-detection-0001,onnx,FP16,ONNX Runtime OVEP,+,+,+
Natural Language Processing,fairseq_s2t_covost,pytorch,FP32,torch.compile,+,+,
Large Language Model,falcon-11B,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,falcon-40b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,falcon-7b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,falcon-7b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,falcon-7b-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,falcon-7b-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,falcon-7b-instruct,pytorch,INT4,Optimum Intel,+,+,
Object Detection,faster_rcnn_inception_v2_coco,tf,FP32,OpenVINO,+,+,
Object Detection,faster_rcnn_inception_v2_coco,tf,FP16,OpenVINO,+,+,
Object Detection,faster_rcnn_resnet50_fpn_coco,onnx,FP32,OpenVINO,+,,
Object Detection,faster_rcnn_resnet50_fpn_coco,onnx,FP16,OpenVINO,+,,
Object Detection,faster_rcnn_resnet50_fpn_coco,onnx,FP16-INT8,OpenVINO,+,,
Image to Image,fast-neural-style-mosaic,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image to Image,fast-neural-style-mosaic,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image to Image,fast-neural-style-mosaic,onnx,INT8,ONNX Runtime OVEP,+,+,+
Semantic Segmentation,fastseg-large,onnx,FP16,OpenVINO,+,+,
Semantic Segmentation,fastseg-large,onnx,FP32,OpenVINO,+,+,
Semantic Segmentation,fastseg-small,onnx,FP16,OpenVINO,+,+,
Semantic Segmentation,fastseg-small,onnx,FP16-INT8,OpenVINO,+,+,
Semantic Segmentation,fastseg-small,onnx,FP32,OpenVINO,+,+,
Semantic Segmentation,fastseg-small,onnx,FP32,ONNX Runtime OVEP,+,+,
Semantic Segmentation,fastseg-small,onnx,FP16,ONNX Runtime OVEP,+,+,
Semantic Segmentation,fastseg-small,onnx,INT8,ONNX Runtime OVEP,+,+,
"Image Processing, Enhancement ",fbcnn,onnx,FP16,OpenVINO,+,+,
"Image Processing, Enhancement ",fbcnn,onnx,FP16-INT8,OpenVINO,+,+,
"Image Processing, Enhancement ",fbcnn,onnx,FP32,OpenVINO,+,+,
Image Classification,fbnetc_100.rmsp_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,fbnetc-100,onnx,FP16,OpenVINO,+,+,+
Image Classification,fbnetc-100,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,fbnetc-100,onnx,FP32,OpenVINO,+,+,+
Image Classification,fbnetv3_d.ra2_in1k,pytorch,FP32,torch.compile,+,+,+
Image Segmentation,fcn_resnet101,pytorch,FP32,torch.compile,+,+,+
Image Segmentation,fcn_resnet50,pytorch,FP32,torch.compile,+,+,+
Monodepth,fcrn-dp-nyu-depth-v2-tf,tf,FP16,OpenVINO,+,+,+
Monodepth,fcrn-dp-nyu-depth-v2-tf,tf,FP32,OpenVINO,+,+,+
Large Language Model,flan-t5-large-grammar-synthesis,pytorch,FP16,OpenVINO,+,+,
Large Language Model,flan-t5-large-grammar-synthesis,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,flan-t5-large-grammar-synthesis,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,flan-t5-large-grammar-synthesis,pytorch,FP32,torch.compile,+,+,+
Large Language Model,flan-t5-xxl,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,flan-t5-xxl,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,flan-t5-xxl,pytorch,FP16,OpenVINO,+,+,
Image Classification,flexivit_base.300ep_in21k,pytorch,FP32,torch.compile,+,+,+
Image Classification,flexivit_base.patch16_in21k,pytorch,FP32,torch.compile,+,+,+
Image Generation,flux.1-dev,pytorch,INT8-CW,OpenVINO,,+,
Image Generation,flux.1-dev,pytorch,INT8-HYBRID,OpenVINO,,+,
Image Generation,flux.1-schnell,pytorch,INT8-CW,OpenVINO,,+,
Image Generation,flux.1-schnell,pytorch,INT8-HYBRID,OpenVINO,,+,
Text Recognition,formula-recognition-medium-scan-0001,onnx,FP16,OpenVINO,+,,
Text to Speech,forward-tacotron-duration-prediction,onnx,FP16,OpenVINO,+,,+
Text to Speech,forward-tacotron-duration-prediction,onnx,FP32,OpenVINO,+,,+
Text to Speech,forward-tacotron-duration-prediction,onnx,FP32,ONNX Runtime OVEP,+,+,+
Text to Speech,forward-tacotron-duration-prediction,onnx,FP16,ONNX Runtime OVEP,+,+,+
Text to Speech,forward-tacotron-duration-prediction,onnx,INT8,ONNX Runtime OVEP,+,,+
Text to Speech,forward-tacotron-regression,onnx,FP16,OpenVINO,+,,
Text to Speech,forward-tacotron-regression,onnx,FP16-INT8,OpenVINO,+,,
Text to Speech,forward-tacotron-regression,onnx,FP32,OpenVINO,+,,
"Image Processing, Enhancement ",fsrcnn-x4,tf,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",fsrcnn-x4,tf,FP32,OpenVINO,+,+,
Text Recognition,functorch_maml_omniglot,pytorch,FP32,torch.compile,+,+,+
Object Detection,gaze-estimation-adas-0002,onnx,FP16,OpenVINO,+,+,+
Object Detection,gaze-estimation-adas-0002,onnx,FP32,ONNX Runtime OVEP,,,+
Object Detection,gaze-estimation-adas-0002,onnx,FP16,ONNX Runtime OVEP,,,+
Object Detection,gaze-estimation-adas-0002,onnx,INT8,ONNX Runtime OVEP,,,+
Image Classification,gc_efficientnetv2_rw_t.agc_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,gcresnet50t,pytorch,FP32,torch.compile,+,+,+
Image Classification,gcvit_tiny,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,gelectra-base-germanquad,pytorch,FP32,torch.compile,+,+,+
Large Language Model,gemma-1.1-2b-it,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,gemma-1.1-7b-it,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,gemma-2-2b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,gemma-2-2b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,gemma-2-2b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,gemma-2-9b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,gemma-2-9b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,gemma-2-9b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,gemma-2b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,gemma-2b-it,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,gemma-2b-it,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,gemma-2b-it,pytorch,FP16,OpenVINO,+,+,
Large Language Model,gemma-2b-it,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,gemma-7b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,gemma-7b-it,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,gemma-7b-it,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,gemma-7b-it,pytorch,FP16,OpenVINO,+,,
Large Language Model,gemma-7b-it,pytorch,INT4,Optimum Intel,+,+,
Image Classification,gernet_m,pytorch,FP32,torch.compile,+,+,+
Image Classification,ghostnet_100,pytorch,FP32,torch.compile,+,+,+
Large Language Model,glm-4-9b-chat,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,glm-4-9b-chat,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,glm-4-9b-chat,pytorch,FP16,OpenVINO,+,+,
Large Language Model,glm4v-nano-v050,pytorch,FP16,OpenVINO,+,+,
Large Language Model,glm4v-nano-v050,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,glm4v-nano-v050,pytorch,INT8-CW,OpenVINO,+,+,
Image Classification,gluon_inception_v3,pytorch,FP32,torch.compile,+,+,+
Image Classification,gluon_resnet50_v1b,pytorch,FP32,torch.compile,+,+,+
Image Classification,gluon_resnext50_32x4d,pytorch,FP32,torch.compile,+,+,+
Image Classification,gluon_senet154,pytorch,FP32,torch.compile,+,+,+
Image Classification,gluon_seresnext101_64x4d,pytorch,FP32,torch.compile,+,+,+
Image Classification,gmixer_24_224,pytorch,FP32,torch.compile,+,+,+
Image Classification,gmlp_s16_224,pytorch,FP32,torch.compile,+,+,+
Image Classification,googlenet,pytorch,FP32,torch.compile,+,+,
Image Classification,googlenet-v1,tf,FP16,OpenVINO,+,+,+
Image Classification,googlenet-v1,tf,FP16-INT8,OpenVINO,+,+,+
Image Classification,googlenet-v1,tf,FP32,OpenVINO,+,+,+
Image Classification,googlenet-v2,tf,FP16,OpenVINO,+,+,+
Image Classification,googlenet-v2,tf,FP32,OpenVINO,+,+,
Image Classification,googlenet-v3,onnx,FP16,OpenVINO,+,+,+
Image Classification,googlenet-v3,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,googlenet-v3,tf,FP16,OpenVINO,+,,+
Image Classification,googlenet-v3,tf,FP32,OpenVINO,+,,
Image Classification,googlenet-v3,tf2,FP16,OpenVINO,+,,+
Image Classification,googlenet-v3,tf2,FP32,OpenVINO,+,,
Image Classification,googlenet-v4,tf,FP16,OpenVINO,+,,
Image Classification,googlenet-v4,tf,FP16-INT8,OpenVINO,+,,
Image Classification,googlenet-v4,tf,FP32,OpenVINO,+,,
Image Classification,googlenet-v4,tf,FP16,OpenVINO,+,+,+
Image Classification,googlenet-v4,tf,FP16-INT8,OpenVINO,+,+,+
Image Classification,googlenet-v4,tf,FP32,OpenVINO,+,+,
Large Language Model,gpt2,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,gpt2,pytorch,FP32,torch.compile,+,+,+
Large Language Model,GPT-2,onnx,FP16,OpenVINO,+,+,+
Large Language Model,GPT-2,onnx,FP32,OpenVINO,+,+,+
Large Language Model,gpt-2,pytorch,FP16,OpenVINO,+,+,
Large Language Model,gpt-2,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,gpt-2,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,GPT-2,onnx,FP32,ONNX Runtime OVEP,+,+,+
Large Language Model,GPT-2,onnx,FP16,ONNX Runtime OVEP,+,+,+
Large Language Model,GPT-2,onnx,INT8,ONNX Runtime OVEP,+,+,
Large Language Model,GPT2Neo1.3BPoints,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,gpt2-wikitext2-int8-onnx-0001,onnx,FP16-INT8,OpenVINO,,+,
Large Language Model,gpt-neox-20b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,gpt-neox-20b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,granite-3b-code-base,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,granite-3b-code-instruct,pytorch,INT4,Optimum Intel,+,+,
Image Classification,halo2botnet50ts_256,pytorch,FP32,torch.compile,+,+,
Image Classification,halonet50ts,pytorch,FP32,torch.compile,+,+,
Image Classification,haloregnetz_b,pytorch,FP32,torch.compile,+,+,
Text Detection,handwritten-english-recognition-0001,onnx,FP16,OpenVINO,+,+,+
Text Detection,handwritten-english-recognition-0001,onnx,FP32,OpenVINO,+,+,+
Text Detection,handwritten-japanese-recognition-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Text Detection,handwritten-score-recognition-0003,tf,FP16,OpenVINO,+,,+
Text Detection,handwritten-score-recognition-0003,tf,FP16-INT8,OpenVINO,,+,+
Text Detection,handwritten-score-recognition-0003,tf,FP32,OpenVINO,+,,+
Text Detection,handwritten-simplified-chinese-recognition-0001,onnx,FP16,OpenVINO,+,+,+
Text Detection,handwritten-simplified-chinese-recognition-0001,onnx,FP32,OpenVINO,+,+,+
Image Classification,hardcorenas_d,pytorch,FP32,torch.compile,+,+,+
Image Classification,hbonet-0.25,onnx,FP16,OpenVINO,+,+,
Image Classification,hbonet-0.25,onnx,FP32,OpenVINO,+,+,
Image Classification,hbonet-0.5,onnx,FP16,OpenVINO,+,+,+
Image Classification,hbonet-0.5,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,hbonet-0.5,onnx,FP32,OpenVINO,+,+,+
Image Classification,hbonet-1.0,onnx,FP16,OpenVINO,+,+,+
Image Classification,hbonet-1.0,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,hbonet-1.0,onnx,FP32,OpenVINO,+,+,
Natural Language Processing,hf_Albert,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,hf_Bert,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,hf_Bert_large,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,hf_BigBird,pytorch,FP32,torch.compile,+,+,
Natural Language Processing,hf_DistilBert,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,hf_Longformer,pytorch,FP32,torch.compile,+,+,
Object Detection,hg-s8-b1-mpii,onnx,FP16,OpenVINO,+,+,+
Object Detection,hg-s8-b1-mpii,onnx,FP32,ONNX Runtime OVEP,+,+,+
Object Detection,hg-s8-b1-mpii,onnx,FP16,ONNX Runtime OVEP,+,+,+
Object Detection,higher-hrnet-w32-512,onnx,FP16,OpenVINO,+,+,
Object Detection,higher-hrnet-w32-512,onnx,FP32,OpenVINO,+,+,
Text Detection,horizontal-text-detection-0001,onnx,FP16,OpenVINO,+,+,
Text Detection,horizontal-text-detection-0001,onnx,FP16-INT8,OpenVINO,,+,
Text Detection,horizontal-text-detection-0001,onnx,FP32,OpenVINO,+,+,
Text Detection,horizontal-text-detection-0001,onnx,FP32,ONNX Runtime OVEP,+,+,
Text Detection,horizontal-text-detection-0001,onnx,FP16,ONNX Runtime OVEP,+,+,
Text Detection,horizontal-text-detection-0001,onnx,INT8,ONNX Runtime OVEP,+,+,
Image Classification,hrnet_w32,pytorch,FP32,torch.compile,+,+,+
Semantic Segmentation,hrnet-v2-c1-segmentation,onnx,FP16-INT8,OpenVINO,+,+,+
Speech Recognition,hubert-large-ls960-ft,pytorch,intel-optimum default,Optimum Intel,,+,
Object Detection,human-pose-estimation-0002,onnx,FP16,OpenVINO,+,+,+
Object Detection,human-pose-estimation-0002,onnx,FP32,OpenVINO,+,+,+
Object Detection,human-pose-estimation-0003,onnx,FP16,OpenVINO,+,+,+
